rule,target_rate,escalation_rate,auroc_end_to_end,accuracy,attack_success_rate,false_positive_rate,flops_vs_always_stage2,latency_ms_expected
platt,0.0,0.0,0.9503716826438904,0.8627819418907166,0.25563910603523254,0.01879699155688286,0.0010393817877773351,0.3670999940368347
platt,0.01,0.0,0.9503716826438904,0.8627819418907166,0.25563910603523254,0.01879699155688286,0.0010393817877773351,0.3670999940368347
platt,0.02,0.0,0.9503716826438904,0.8627819418907166,0.25563910603523254,0.01879699155688286,0.0010393817877773351,0.3670999940368347
platt,0.05,0.0,0.9503716826438904,0.8627819418907166,0.25563910603523254,0.01879699155688286,0.0010393817877773351,0.3670999940368347
platt,0.1,0.0,0.9503716826438904,0.8627819418907166,0.25563910603523254,0.01879699155688286,0.0010393817877773351,0.3670999940368347
platt,0.25,0.0,0.9503716826438904,0.8627819418907166,0.25563910603523254,0.01879699155688286,0.0010393817877773351,0.3670999940368347
platt,0.5,0.3947368562221527,0.9999434947967529,0.981203019618988,0.03759398311376572,0.0,0.3953659557106083,633.1043857824811
platt,1.0,1.0,0.9980213642120361,0.7518796920776367,0.49624061584472656,0.0,1.0,1603.301499999361
temperature,0.0,0.0,0.9503787755966187,0.798872172832489,0.007518797181546688,0.3947368562221527,0.0010393817877773351,0.3670999940368347
temperature,0.01,0.011278195306658745,0.9505483508110046,0.8026315569877625,0.007518797181546688,0.38721805810928345,0.012305854743635342,18.445307221058734
temperature,0.02,0.01315789483487606,0.9505766034126282,0.8026315569877625,0.007518797181546688,0.38721805810928345,0.014183600546396537,21.458342256512047
temperature,0.05,0.050751879811286926,0.9490219950675964,0.817669153213501,0.007518797181546688,0.3571428656578064,0.05173851101949294,81.71903400848437
temperature,0.1,0.05639097839593887,0.9491068124771118,0.8195488452911377,0.007518797181546688,0.35338345170021057,0.05737174842777652,90.75813911484431
temperature,0.25,0.05639097839593887,0.9491068124771118,0.8195488452911377,0.007518797181546688,0.35338345170021057,0.05737174842777652,90.75813911484431
temperature,0.5,0.5,0.9950392842292786,0.9849624037742615,0.02631578966975212,0.003759398590773344,0.5005196908938887,801.834299996699
temperature,1.0,1.0,0.9980213642120361,0.7518796920776367,0.49624061584472656,0.0,1.0,1603.301499999361
isotonic,0.0,0.0,0.9484849572181702,0.8703007698059082,0.25563910603523254,0.003759398590773344,0.0010393817877773351,0.3670999940368347
isotonic,0.01,0.007518797181546688,0.9522160887718201,0.8703007698059082,0.25563910603523254,0.003759398590773344,0.008550364068467533,12.419238643001098
isotonic,0.02,0.007518797181546688,0.9522160887718201,0.8703007698059082,0.25563910603523254,0.003759398590773344,0.008550364068467533,12.419238643001098
isotonic,0.05,0.007518797181546688,0.9522160887718201,0.8703007698059082,0.25563910603523254,0.003759398590773344,0.008550364068467533,12.419238643001098
isotonic,0.1,0.007518797181546688,0.9522160887718201,0.8703007698059082,0.25563910603523254,0.003759398590773344,0.008550364068467533,12.419238643001098
isotonic,0.25,0.007518797181546688,0.9522160887718201,0.8703007698059082,0.25563910603523254,0.003759398590773344,0.008550364068467533,12.419238643001098
isotonic,0.5,0.3477443754673004,0.9947000741958618,0.9736841917037964,0.05263157933950424,0.0,0.348422318084415,557.7785218389403
isotonic,1.0,1.0,0.9980213642120361,0.7518796920776367,0.49624061584472656,0.0,1.0,1603.301499999361
rank,0.0,0.0,0.9484849572181702,0.8703007698059082,0.25563910603523254,0.003759398590773344,0.0010393817877773351,0.3670999940368347
rank,0.01,0.011278195306658745,0.9519192576408386,0.8759398460388184,0.24436090886592865,0.003759398590773344,0.012305854743635342,18.445307221058734
rank,0.02,0.020676691085100174,0.9545692205429077,0.8796992301940918,0.2368421107530594,0.003759398590773344,0.021694581896732158,33.51047941262732
rank,0.05,0.050751879811286926,0.9628229141235352,0.8947368264198303,0.20676691830158234,0.003759398590773344,0.05173851101949294,81.71903400848437
rank,0.1,0.10150375962257385,0.9737407565116882,0.9191729426383972,0.15789473056793213,0.003759398590773344,0.10243764025120855,163.0709680229319
rank,0.25,0.25,0.9918735027313232,0.9718044996261597,0.05263157933950424,0.003759398590773344,0.250779536340833,401.1006999953679
rank,0.5,0.5,0.9990954995155334,0.9003759622573853,0.19924812018871307,0.0,0.5005196908938887,801.834299996699
rank,1.0,1.0,0.9980213642120361,0.7518796920776367,0.49624061584472656,0.0,1.0,1603.301499999361
